"LV_TRG#1 Time";"LV_TRG#1 ValueY";"LV_ACT#1 Time";"LV_ACT#1 ValueY";"STP_POS#1 Time";"STP_POS#1 ValueY";"CST_SPD#1 Time";"CST_SPD#1 ValueY";"TND_W Time";"TND_W ValueY";"Auto_SPD_SET Time";"Auto_SPD_SET ValueY";"AutoSpeed_Control Time";"AutoSpeed_Control ValueY";"AutoSpeed_Start Time";"AutoSpeed_Start ValueY";"Current Time";"Current ValueY";"Sensor_failing Time";"Sensor_failing ValueY"
2021/4/7 17:54:42;80;2021/4/7 17:54:42;0.129287153482437;2021/4/7 17:54:42;0.554000020027161;2021/4/7 17:54:42;0;2021/4/7 17:54:42;22.6996459960938;2021/4/7 17:54:42;0;2021/4/7 17:54:42;0;2021/4/7 17:54:42;0;2021/4/7 17:54:42;0;;
2021/4/7 17:54:43;80;2021/4/7 17:54:43;0.127279683947563;2021/4/7 17:54:43;0.552000045776367;2021/4/7 17:54:43;0;2021/4/7 17:54:43;22.7973098754883;2021/4/7 17:54:43;0;2021/4/7 17:54:43;0;2021/4/7 17:54:43;0;2021/4/7 17:54:43;0;;
2021/4/7 17:54:43;80;2021/4/7 17:54:43;0.125728994607925;2021/4/7 17:54:43;0.554000020027161;2021/4/7 17:54:43;0;2021/4/7 17:54:43;22.8949584960938;2021/4/7 17:54:43;0;2021/4/7 17:54:43;0;2021/4/7 17:54:43;0;2021/4/7 17:54:43;0;;
2021/4/7 17:54:44;80;2021/4/7 17:54:44;0.121399350464344;2021/4/7 17:54:44;0.554000020027161;2021/4/7 17:54:44;0;2021/4/7 17:54:44;22.998046875;2021/4/7 17:54:44;0;2021/4/7 17:54:44;0;2021/4/7 17:54:44;0;2021/4/7 17:54:44;0;;
2021/4/7 17:54:44;80;2021/4/7 17:54:44;0.119923442602158;2021/4/7 17:54:44;0.556000053882599;2021/4/7 17:54:44;0;2021/4/7 17:54:44;23.095703125;2021/4/7 17:54:44;0;2021/4/7 17:54:44;0;2021/4/7 17:54:44;0;2021/4/7 17:54:44;0;;
2021/4/7 17:54:45;80;2021/4/7 17:54:45;0.12129245698452;2021/4/7 17:54:45;0.555000007152557;2021/4/7 17:54:45;0;2021/4/7 17:54:45;23.1987838745117;2021/4/7 17:54:45;0;2021/4/7 17:54:45;0;2021/4/7 17:54:45;0;2021/4/7 17:54:45;0;;
2021/4/7 17:54:45;80;2021/4/7 17:54:45;0.12323222309351;2021/4/7 17:54:45;0.555000007152557;2021/4/7 17:54:45;0;2021/4/7 17:54:45;23.2964401245117;2021/4/7 17:54:45;0;2021/4/7 17:54:45;0;2021/4/7 17:54:45;0;2021/4/7 17:54:45;0;;
2021/4/7 17:54:46;80;2021/4/7 17:54:46;0.123862653970718;2021/4/7 17:54:46;0.556000053882599;2021/4/7 17:54:46;0;2021/4/7 17:54:46;23.3995208740234;2021/4/7 17:54:46;0;2021/4/7 17:54:46;0;2021/4/7 17:54:46;0;2021/4/7 17:54:46;0;;
2021/4/7 17:54:46;80;2021/4/7 17:54:46;0.123666636645794;2021/4/7 17:54:46;0.555000007152557;2021/4/7 17:54:46;0;2021/4/7 17:54:46;23.53515625;2021/4/7 17:54:46;0;2021/4/7 17:54:46;0;2021/4/7 17:54:46;0;2021/4/7 17:54:46;0;;
2021/4/7 17:54:47;80;2021/4/7 17:54:47;0.122666023671627;2021/4/7 17:54:47;0.556000053882599;2021/4/7 17:54:47;0;2021/4/7 17:54:47;23.6002578735352;2021/4/7 17:54:47;0;2021/4/7 17:54:47;0;2021/4/7 17:54:47;0;2021/4/7 17:54:47;0;;
2021/4/7 17:54:47;80;2021/4/7 17:54:47;0.118534371256828;2021/4/7 17:54:47;0.557000041007996;2021/4/7 17:54:47;0;2021/4/7 17:54:47;23.7250366210938;2021/4/7 17:54:47;0;2021/4/7 17:54:47;0;2021/4/7 17:54:47;0;2021/4/7 17:54:47;0;;
2021/4/7 17:54:48;80;2021/4/7 17:54:48;0.123260214924812;2021/4/7 17:54:48;0.557000041007996;2021/4/7 17:54:48;0;2021/4/7 17:54:48;23.7955703735352;2021/4/7 17:54:48;0;2021/4/7 17:54:48;0;2021/4/7 17:54:48;0;2021/4/7 17:54:48;0;;
2021/4/7 17:54:48;80;2021/4/7 17:54:48;0.119854472577572;2021/4/7 17:54:48;0.557000041007996;2021/4/7 17:54:48;0;2021/4/7 17:54:48;23.8552551269531;2021/4/7 17:54:48;0;2021/4/7 17:54:48;0;2021/4/7 17:54:48;0;2021/4/7 17:54:48;0;;
2021/4/7 17:54:49;80;2021/4/7 17:54:49;0.125288471579552;2021/4/7 17:54:49;0.556000053882599;2021/4/7 17:54:49;0;2021/4/7 17:54:49;24.0071563720703;2021/4/7 17:54:49;0;2021/4/7 17:54:49;0;2021/4/7 17:54:49;0;2021/4/7 17:54:49;0;;
2021/4/7 17:54:49;80;2021/4/7 17:54:49;0.11789470911026;2021/4/7 17:54:49;0.558000028133392;2021/4/7 17:54:49;0;2021/4/7 17:54:49;24.0993881225586;2021/4/7 17:54:49;0;2021/4/7 17:54:49;0;2021/4/7 17:54:49;0;2021/4/7 17:54:49;0;;
2021/4/7 17:54:50;80;2021/4/7 17:54:50;0.1189881041646;2021/4/7 17:54:50;0.559000015258789;2021/4/7 17:54:50;0;2021/4/7 17:54:50;24.2458724975586;2021/4/7 17:54:50;0;2021/4/7 17:54:50;0;2021/4/7 17:54:50;0;2021/4/7 17:54:50;0;;
2021/4/7 17:54:50;80;2021/4/7 17:54:50;0.12133451551199;2021/4/7 17:54:50;0.561000049114227;2021/4/7 17:54:50;0;2021/4/7 17:54:50;24.3977813720703;2021/4/7 17:54:50;0;2021/4/7 17:54:50;0;2021/4/7 17:54:50;0;2021/4/7 17:54:50;0;;
2021/4/7 17:54:51;80;2021/4/7 17:54:51;0.120034269988537;2021/4/7 17:54:51;0.560000002384186;2021/4/7 17:54:51;0;2021/4/7 17:54:51;24.4466094970703;2021/4/7 17:54:51;0;2021/4/7 17:54:51;0;2021/4/7 17:54:51;0;2021/4/7 17:54:51;0;;
2021/4/7 17:54:51;80;2021/4/7 17:54:51;0.120287619531155;2021/4/7 17:54:51;0.561000049114227;2021/4/7 17:54:51;0;2021/4/7 17:54:51;24.5334167480469;2021/4/7 17:54:51;0;2021/4/7 17:54:51;0;2021/4/7 17:54:51;0;2021/4/7 17:54:51;0;;
2021/4/7 17:54:52;80;2021/4/7 17:54:52;0.120208151638508;2021/4/7 17:54:52;0.561000049114227;2021/4/7 17:54:52;0;2021/4/7 17:54:52;24.6039428710938;2021/4/7 17:54:52;0;2021/4/7 17:54:52;0;2021/4/7 17:54:52;0;2021/4/7 17:54:52;0;;
